seq[1], delay = 1203100
seq[2], delay = 5592300
seq[3], delay = 5396900
seq[4], delay = 1490000
seq[5], delay = 1560700
seq[6], delay = 1637200
seq[7], delay = 1668800
seq[8], delay = 1872500
seq[9], delay = 13095200
seq[10], delay = 34438900
seq[11], delay = 9007000
seq[12], delay = 1699000
seq[13], delay = 2265900
seq[14], delay = 2360500
seq[15], delay = 2494700
seq[16], delay = 2186900
seq[17], delay = 2282000
seq[18], delay = 3032300
seq[19], delay = 1451900
seq[20], delay = 2217200
seq[21], delay = 2396400
seq[22], delay = 1523600
seq[23], delay = 1848100
seq[24], delay = 3552100
seq[25], delay = 2294800
seq[26], delay = 5791100
seq[27], delay = 2210100
seq[28], delay = 2127200
seq[29], delay = 2900900
seq[30], delay = 1863300
seq[31], delay = 4610200
seq[32], delay = 1934800
seq[33], delay = 2186700
seq[34], delay = 10400000
seq[35], delay = 6007400
seq[36], delay = 5895700
seq[37], delay = 1929900
seq[38], delay = 1731800
seq[39], delay = 1820900
seq[40], delay = 2404900
seq[41], delay = 1934700
seq[42], delay = 1903800
seq[43], delay = 1989000
seq[44], delay = 1846200
seq[45], delay = 1707800
seq[46], delay = 1632200
seq[47], delay = 1843800
seq[48], delay = 3174100
seq[49], delay = 1893700
seq[50], delay = 2013500
seq[51], delay = 3083800
seq[52], delay = 2129600
seq[53], delay = 10131900
seq[54], delay = 2780600
seq[55], delay = 2863000
seq[56], delay = 1595700
seq[57], delay = 2800800
seq[58], delay = 2974500
seq[59], delay = 1871100
seq[60], delay = 1617000
seq[61], delay = 2317000
seq[62], delay = 1426800
seq[63], delay = 20430900
seq[64], delay = 44349100
seq[65], delay = 6289100
seq[66], delay = 2123400
seq[67], delay = 1963300
seq[68], delay = 1658200
seq[69], delay = 6259500
seq[70], delay = 3202500
seq[71], delay = 6601900
seq[72], delay = 2152200
seq[73], delay = 2177000
seq[74], delay = 5005700
seq[75], delay = 3726500
seq[76], delay = 2193700
seq[77], delay = 1761500
seq[78], delay = 2768100
seq[79], delay = 5553800
seq[80], delay = 3309800
seq[81], delay = 3750600
seq[82], delay = 2140000
seq[83], delay = 3084400
seq[84], delay = 3294300
seq[85], delay = 1727600
seq[86], delay = 1603000
seq[87], delay = 1821200
seq[88], delay = 10382500
seq[89], delay = 2059200
seq[90], delay = 1892400
seq[91], delay = 14259600
seq[92], delay = 10068600
seq[93], delay = 6378900
seq[94], delay = 12254600
seq[95], delay = 4835700
seq[96], delay = 2092400
seq[97], delay = 2077300
seq[98], delay = 2605200
seq[99], delay = 1883100
seq[100], delay = 1913300
seq[101], delay = 11767300
seq[102], delay = 1826000
seq[103], delay = 1671800
seq[104], delay = 2875700
seq[105], delay = 1937300
seq[106], delay = 1541700
seq[107], delay = 1686000
seq[108], delay = 1784200
seq[109], delay = 1713800
seq[110], delay = 1747200
seq[111], delay = 1563600
seq[112], delay = 1553800
seq[113], delay = 3168500
seq[114], delay = 3166100
seq[115], delay = 2154000
seq[116], delay = 1763800
seq[117], delay = 3227700
seq[118], delay = 9997600
seq[119], delay = 4835200
seq[120], delay = 9359000
seq[121], delay = 2186300
seq[122], delay = 10279900
seq[123], delay = 1904700
seq[124], delay = 3541300
seq[125], delay = 2372500
seq[126], delay = 3202200
seq[127], delay = 6087400
seq[128], delay = 1361300
seq[129], delay = 20155400
seq[130], delay = 3264000
seq[131], delay = 10143100
seq[132], delay = 3076100
seq[133], delay = 2057300
seq[134], delay = 2720300
seq[135], delay = 2429000
seq[136], delay = 1994000
seq[137], delay = 3415900
seq[138], delay = 1905300
seq[139], delay = 2466700
seq[140], delay = 1615200
seq[141], delay = 1778900
seq[142], delay = 1885800
seq[143], delay = 3115800
seq[144], delay = 10409300
seq[145], delay = 3528600
seq[146], delay = 1729100
seq[147], delay = 1770400
seq[148], delay = 1989600
seq[149], delay = 22493800
seq[150], delay = 1463900
seq[151], delay = 1889200
seq[152], delay = 1802100
seq[153], delay = 2199200
seq[154], delay = 10169200
seq[155], delay = 1992700
seq[156], delay = 3040100
seq[157], delay = 12596800
seq[158], delay = 9953600
seq[159], delay = 10333200
seq[160], delay = 4436600
seq[161], delay = 9980300
seq[162], delay = 5391100
seq[163], delay = 1605500
seq[164], delay = 10427600
seq[165], delay = 1995300
seq[166], delay = 11399600
seq[167], delay = 2032800
seq[168], delay = 3497400
seq[169], delay = 1520700
seq[170], delay = 2208700
seq[171], delay = 1746000
seq[172], delay = 6502400
seq[173], delay = 3915000
seq[174], delay = 2143300
seq[175], delay = 2338800
seq[176], delay = 2236300
seq[177], delay = 11968900
seq[178], delay = 1384800
seq[179], delay = 1783100
seq[180], delay = 7549000
seq[181], delay = 1583500
seq[182], delay = 1962400
seq[183], delay = 1993900
seq[184], delay = 5070500
seq[185], delay = 3815200
seq[186], delay = 13218300
seq[187], delay = 1753700
seq[188], delay = 10991000
seq[189], delay = 5390800
seq[190], delay = 1848200
